Number,LAT,LON,radio_time,satellites,GPSalt,GPSspeed
01, 50.226114, 30.442346,00:10:46, 22, 22, 139.1
02, 50.226397, 30.442619,00:10:48, 22, 20, 136.3
03, 50.226699, 30.44289,00:10:50, 22, 18, 134.6
04, 50.226997, 30.443147,00:10:52, 22, 16, 129.8
05, 50.227268, 30.443378,00:10:54, 22, 14, 123.9
06, 50.227498, 30.443581,00:10:56, 22, 15, 83.3
07, 50.227658, 30.443721,00:10:58, 22, 12, 54.4
08, 50.227757, 30.443797,00:11:00, 22, 6, 36.1
09, 50.227828, 30.443828,00:11:01, 22, 3, 21.7
10, 50.227868, 30.443811,00:11:03, 21, 1, 12.4
11, 50.227885, 30.443791,00:11:05, 22, 2, 7.6
12, 50.227906, 30.443779,00:11:07, 22, 1, 12.6
13, 50.227944, 30.443777,00:11:09, 20, 2, 16.5
14, 50.227985, 30.443769,00:11:11, 21, 2, 16.7
15, 50.228026, 30.443752,00:11:13, 20, 1, 15.9
16, 50.228059, 30.443723,00:11:15, 20, 1, 15.2
17, 50.228082, 30.443678,00:11:17, 20, 2, 16.7
18, 50.228102, 30.443627,00:11:18, 20, 1, 13.9
19, 50.228128, 30.443594,00:11:20, 20, 2, 13.5
20, 50.228159, 30.443602,00:11:22, 21, 2, 15
21, 50.228185, 30.443658,00:11:24, 21, 2, 19.3
22, 50.228197, 30.443727,00:11:26, 21, 1, 13.7
23, 50.228191, 30.443762,00:11:28, 21, 184, 1.1
24, 50.228193, 30.44376,00:11:30, 21, 183, 0.6
25, 50.228194, 30.443761,00:11:31, 19, 183, 0.2
26, 50.228195, 30.443764,00:11:35, 18, 183, 0.2
27, 50.228194, 30.443771,00:11:41, 18, 183, 0.4
28, 50.228193, 30.443775,00:11:45, 17, 184, 0.2
29, 50.228192, 30.443777,00:11:46, 18, 184, 0.7
30, 50.228189, 30.443768,00:12:05, 18, 184, 11.9
31, 50.228181, 30.4437,00:12:09, 17, 184, 5.7
32, 50.228177, 30.443668,00:12:11, 18, 184, 8.3
33, 50.228157, 30.443651,00:12:13, 19, 185, 9.1
34, 50.228149, 30.443659,00:12:15, 19, 185, 0.4
35, 50.228155, 30.443661,00:12:17, 19, 185, 2.6
